A	B	C	D	E	F	G	H	I	RESP
JqymVN	2173.0	772.0	1725.0	1087.0	jithza	OhryCL	StAyqw	3001.0	221.0
KVGcIg	3034.0	1745.0	4532.0	698.0	DJwYdl	ReOawA	DPIKud	460.0	390.0
NwlieP	1921.0	7965.0	794.0	2436.0	gkygIZ	KVGcIg	NwlieP	297.0	2265.0
JqymVN	88.0	102.0	2440.0	385.0	eeVQAD	xuoBel	CBcUxf	7467.0	2609.0
gkygIZ	2701.0	2750.0	15.0	1011.0	uHjRAr	CBcUxf	NwlieP	4261.0	7626.0
ReOawA	1096.0	2020.0	823.0	2274.0	IrOLwQ	eeVQAD	rIaMwY	32.0	3127.0
KVGcIg	60.0	6969.0	1513.0	1947.0	OhryCL	IrOLwQ	epcVJK	415.0	4076.0
gkygIZ	4701.0	1050.0	2604.0	3720.0	HEBbwK	CBcUxf	pfmxrL	362.0	1081.0
JqymVN	8084.0	2338.0	331.0	1740.0	DJwYdl	UPpvkc	SYnotp	3848.0	2555.0
uHjRAr	795.0	1153.0	2154.0	6271.0	LHTxOM	AWvgct	AWvgct	63.0	920.0
NwlieP	659.0	95.0	12.0	5135.0	DJwYdl	IrOLwQ	JqymVN	5863.0	91.0
SYnotp	2361.0	2.0	1835.0	975.0	eeVQAD	TuCZEm	FElhOR	55.0	929.0
WstBYV	6676.0	4551.0	1498.0	2226.0	HEBbwK	SYnotp	WstBYV	2525.0	322.0
OhryCL	4111.0	17.0	7944.0	2950.0	KVGcIg	SYnotp	DJwYdl	513.0	375.0
gkygIZ	6075.0	1217.0	5109.0	1147.0	KVGcIg	HEBbwK	UPpvkc	2042.0	3520.0
rIaMwY	2660.0	2128.0	2958.0	1885.0	jithza	uHjRAr	CBcUxf	975.0	2203.0
WstBYV	7694.0	2867.0	846.0	1686.0	AWvgct	epcVJK	AWvgct	294.0	618.0
FElhOR	1402.0	3173.0	6330.0	4735.0	wLOZRO	cpWqOw	cpWqOw	1066.0	1137.0
DPIKud	2573.0	36.0	7843.0	2072.0	rIaMwY	JqymVN	DPIKud	2292.0	5932.0
xuoBel	4826.0	722.0	1540.0	350.0	DPIKud	rIaMwY	SYnotp	741.0	5367.0
OhryCL	239.0	814.0	1103.0	300.0	HEBbwK	AWvgct	KVGcIg	5798.0	942.0
HEBbwK	4111.0	2674.0	539.0	2027.0	StAyqw	JqymVN	KVGcIg	2287.0	113.0
xuoBel	4219.0	6465.0	4315.0	1020.0	uHjRAr	ReOawA	cpWqOw	6515.0	1250.0
OhryCL	56.0	2161.0	253.0	2327.0	AWvgct	pfmxrL	NwlieP	285.0	1684.0
DJwYdl	4678.0	22.0	2011.0	7878.0	pfmxrL	CBcUxf	cpWqOw	6009.0	5286.0
HEBbwK	3874.0	4236.0	17.0	2543.0	FElhOR	DJwYdl	jithza	957.0	2904.0
ZigqKk	580.0	6215.0	4410.0	64.0	jithza	jithza	wLOZRO	2773.0	2826.0
pfmxrL	3231.0	8134.0	874.0	48.0	gkygIZ	WstBYV	xuoBel	4059.0	2952.0
TuCZEm	466.0	657.0	2489.0	4953.0	IrOLwQ	KVGcIg	jithza	4334.0	2332.0
IrOLwQ	2548.0	849.0	238.0	154.0	ZigqKk	WstBYV	ZigqKk	2350.0	5861.0
KVGcIg	850.0	2290.0	126.0	5260.0	StAyqw	FElhOR	pfmxrL	2120.0	3250.0
OhryCL	6223.0	275.0	4351.0	1091.0	DJwYdl	eeVQAD	WstBYV	1278.0	75.0
xuoBel	902.0	600.0	2307.0	130.0	CBcUxf	eeVQAD	cpWqOw	708.0	1133.0
JqymVN	1011.0	2397.0	4000.0	644.0	LHTxOM	HEBbwK	CBcUxf	6532.0	4970.0
DJwYdl	4753.0	5417.0	732.0	1363.0	DJwYdl	MdNHJO	StAyqw	8659.0	3922.0
uHjRAr	2604.0	1807.0	3831.0	3247.0	xuoBel	KVGcIg	ZigqKk	352.0	1300.0
FElhOR	8559.0	3072.0	1440.0	569.0	CBcUxf	StAyqw	IrOLwQ	513.0	1129.0
WstBYV	7192.0	8307.0	2730.0	4510.0	gkygIZ	pfmxrL	jithza	3244.0	1643.0
xuoBel	94.0	705.0	7436.0	128.0	LHTxOM	OhryCL	pfmxrL	1042.0	2262.0
WstBYV	250.0	2929.0	2891.0	1654.0	FElhOR	MdNHJO	jithza	1288.0	618.0
HEBbwK	7407.0	6095.0	1760.0	257.0	NwlieP	CBcUxf	uHjRAr	1908.0	24.0
wLOZRO	429.0	6.0	830.0	693.0	eeVQAD	jithza	rIaMwY	1903.0	5802.0
StAyqw	3935.0	1210.0	2367.0	8264.0	gkygIZ	xuoBel	TuCZEm	935.0	5934.0
IrOLwQ	5498.0	2304.0	955.0	1280.0	AWvgct	JqymVN	wLOZRO	2271.0	5357.0
eeVQAD	1702.0	4651.0	1007.0	6649.0	epcVJK	LHTxOM	xuoBel	1114.0	2060.0
DJwYdl	2708.0	5140.0	1211.0	4359.0	cpWqOw	SYnotp	FElhOR	3482.0	3478.0
DPIKud	779.0	1077.0	685.0	3570.0	KVGcIg	rIaMwY	OhryCL	988.0	4029.0
gkygIZ	289.0	3136.0	3103.0	57.0	TuCZEm	epcVJK	StAyqw	974.0	4050.0
CBcUxf	358.0	4546.0	277.0	827.0	OhryCL	ReOawA	NwlieP	1599.0	1652.0
TuCZEm	5241.0	4575.0	339.0	4454.0	StAyqw	xuoBel	ReOawA	2627.0	718.0
uHjRAr	56.0	2869.0	414.0	859.0	DPIKud	AWvgct	SYnotp	8147.0	3027.0
IrOLwQ	2687.0	4344.0	183.0	742.0	MdNHJO	wLOZRO	OhryCL	2096.0	2007.0
rIaMwY	1007.0	984.0	3129.0	1214.0	WstBYV	KVGcIg	NwlieP	2084.0	6506.0
IrOLwQ	1962.0	1269.0	6284.0	603.0	eeVQAD	LHTxOM	DJwYdl	3146.0	6905.0
WstBYV	29.0	6710.0	161.0	944.0	HEBbwK	DPIKud	TuCZEm	6751.0	7115.0
ReOawA	657.0	3745.0	1293.0	692.0	TuCZEm	ReOawA	pfmxrL	5443.0	1704.0
gkygIZ	753.0	8661.0	378.0	4073.0	FElhOR	gkygIZ	gkygIZ	2555.0	5167.0
wLOZRO	779.0	1780.0	5612.0	1758.0	cpWqOw	UPpvkc	cpWqOw	946.0	1134.0
KVGcIg	1493.0	1440.0	2708.0	2547.0	FElhOR	FElhOR	HEBbwK	944.0	436.0
jithza	1248.0	192.0	6775.0	1154.0	HEBbwK	FElhOR	cpWqOw	7309.0	1413.0
OhryCL	712.0	8042.0	3237.0	1551.0	pfmxrL	DPIKud	rIaMwY	6061.0	290.0
UPpvkc	2797.0	12.0	3309.0	3402.0	StAyqw	DPIKud	DJwYdl	563.0	2602.0
LHTxOM	7518.0	2873.0	710.0	4248.0	AWvgct	jithza	xuoBel	6727.0	4887.0
JqymVN	1687.0	3282.0	242.0	598.0	ZigqKk	AWvgct	DJwYdl	789.0	3665.0
OhryCL	1381.0	1366.0	7749.0	3791.0	UPpvkc	wLOZRO	MdNHJO	1441.0	953.0
gkygIZ	1997.0	99.0	2892.0	2422.0	ZigqKk	KVGcIg	MdNHJO	5217.0	3198.0
CBcUxf	3273.0	798.0	242.0	5498.0	ZigqKk	KVGcIg	uHjRAr	5357.0	5661.0
DJwYdl	1741.0	4710.0	5495.0	611.0	DJwYdl	epcVJK	LHTxOM	524.0	1784.0
NwlieP	4674.0	75.0	4111.0	372.0	IrOLwQ	rIaMwY	StAyqw	4465.0	554.0
xuoBel	1564.0	1024.0	1600.0	195.0	pfmxrL	ZigqKk	NwlieP	1793.0	3059.0
gkygIZ	727.0	1787.0	7891.0	4761.0	LHTxOM	StAyqw	AWvgct	3890.0	4803.0
StAyqw	1410.0	35.0	1463.0	1095.0	xuoBel	HEBbwK	IrOLwQ	5866.0	1482.0
MdNHJO	3411.0	370.0	1862.0	606.0	KVGcIg	CBcUxf	JqymVN	1524.0	1797.0
CBcUxf	4493.0	1376.0	7112.0	3240.0	JqymVN	jithza	rIaMwY	1310.0	1691.0
SYnotp	887.0	1370.0	5822.0	3365.0	SYnotp	LHTxOM	cpWqOw	1498.0	778.0
ZigqKk	5714.0	2001.0	2875.0	39.0	xuoBel	uHjRAr	IrOLwQ	3488.0	1230.0
jithza	525.0	724.0	6111.0	5807.0	epcVJK	xuoBel	eeVQAD	2250.0	885.0
jithza	1284.0	4430.0	1567.0	4143.0	pfmxrL	pfmxrL	jithza	3145.0	6934.0
KVGcIg	1618.0	31.0	8101.0	2688.0	eeVQAD	ZigqKk	DPIKud	3520.0	4784.0
cpWqOw	1521.0	782.0	5255.0	58.0	eeVQAD	epcVJK	IrOLwQ	3396.0	471.0
DPIKud	85.0	432.0	4216.0	2972.0	JqymVN	IrOLwQ	eeVQAD	3565.0	5162.0
OhryCL	1545.0	434.0	729.0	2444.0	UPpvkc	StAyqw	MdNHJO	3261.0	801.0
KVGcIg	1708.0	6130.0	339.0	57.0	LHTxOM	DJwYdl	ReOawA	6066.0	7155.0
pfmxrL	3429.0	1072.0	1111.0	2620.0	FElhOR	ZigqKk	rIaMwY	2655.0	1588.0
SYnotp	313.0	7069.0	8565.0	2244.0	ReOawA	UPpvkc	CBcUxf	1840.0	4132.0
CBcUxf	261.0	3580.0	2726.0	2884.0	uHjRAr	CBcUxf	JqymVN	92.0	3622.0
StAyqw	425.0	6393.0	9217.0	2824.0	rIaMwY	WstBYV	AWvgct	302.0	3578.0
ZigqKk	36.0	2836.0	3164.0	3915.0	SYnotp	jithza	SYnotp	2573.0	6996.0
NwlieP	36.0	2154.0	3294.0	325.0	TuCZEm	MdNHJO	AWvgct	456.0	3165.0
DJwYdl	613.0	4239.0	3106.0	2833.0	DJwYdl	HEBbwK	NwlieP	2426.0	5354.0
AWvgct	9434.0	4902.0	7147.0	1368.0	cpWqOw	FElhOR	CBcUxf	165.0	1506.0
HEBbwK	1626.0	2443.0	394.0	2585.0	jithza	WstBYV	KVGcIg	42.0	1432.0
ZigqKk	2396.0	3303.0	6698.0	1142.0	rIaMwY	NwlieP	rIaMwY	1479.0	584.0
IrOLwQ	1879.0	1728.0	2695.0	579.0	DPIKud	eeVQAD	MdNHJO	1922.0	2277.0
uHjRAr	885.0	5267.0	665.0	2318.0	gkygIZ	KVGcIg	KVGcIg	3315.0	1132.0
xuoBel	239.0	638.0	2083.0	237.0	ZigqKk	NwlieP	pfmxrL	1704.0	228.0
IrOLwQ	67.0	2358.0	655.0	1273.0	MdNHJO	LHTxOM	uHjRAr	3690.0	1879.0
LHTxOM	4628.0	5868.0	1114.0	1256.0	xuoBel	gkygIZ	rIaMwY	3964.0	3143.0
NwlieP	7126.0	5688.0	6689.0	53.0	cpWqOw	IrOLwQ	ZigqKk	747.0	1819.0
xuoBel	1412.0	141.0	1142.0	3067.0	AWvgct	DJwYdl	AWvgct	1459.0	1782.0
jithza	2386.0	1279.0	3077.0	3686.0	rIaMwY	wLOZRO	JqymVN	4.0	720.0
ZigqKk	2.0	3166.0	3.0	5401.0	HEBbwK	HEBbwK	IrOLwQ	93.0	859.0
xuoBel	1458.0	64.0	3889.0	13.0	NwlieP	TuCZEm	NwlieP	235.0	1304.0
JqymVN	3328.0	698.0	366.0	1014.0	LHTxOM	FElhOR	jithza	3268.0	130.0
NwlieP	3115.0	1455.0	1138.0	104.0	rIaMwY	LHTxOM	MdNHJO	2985.0	983.0
LHTxOM	2710.0	2010.0	291.0	3569.0	AWvgct	DPIKud	CBcUxf	625.0	17.0
LHTxOM	381.0	371.0	3644.0	2409.0	UPpvkc	TuCZEm	jithza	3341.0	519.0
KVGcIg	6328.0	1477.0	98.0	1794.0	JqymVN	OhryCL	OhryCL	2856.0	715.0
HEBbwK	679.0	1892.0	2171.0	229.0	wLOZRO	FElhOR	DJwYdl	1134.0	3583.0
DJwYdl	2997.0	23.0	220.0	6610.0	xuoBel	WstBYV	FElhOR	5337.0	3320.0
ReOawA	7636.0	701.0	3821.0	3162.0	TuCZEm	uHjRAr	LHTxOM	4581.0	3353.0
StAyqw	3594.0	3470.0	458.0	1404.0	DJwYdl	KVGcIg	ZigqKk	126.0	232.0
FElhOR	2843.0	5983.0	1582.0	4752.0	CBcUxf	wLOZRO	AWvgct	525.0	2542.0
jithza	5706.0	1441.0	567.0	1271.0	IrOLwQ	cpWqOw	WstBYV	1400.0	1218.0
CBcUxf	3977.0	1094.0	3250.0	429.0	DJwYdl	IrOLwQ	UPpvkc	176.0	4395.0
pfmxrL	1150.0	805.0	1187.0	6641.0	epcVJK	ReOawA	AWvgct	3492.0	3388.0
wLOZRO	1180.0	898.0	3235.0	6115.0	AWvgct	rIaMwY	StAyqw	5795.0	2878.0
epcVJK	1580.0	398.0	1411.0	5213.0	uHjRAr	wLOZRO	AWvgct	6902.0	4451.0
xuoBel	2100.0	128.0	6553.0	406.0	UPpvkc	StAyqw	AWvgct	618.0	523.0
FElhOR	6138.0	875.0	213.0	2534.0	JqymVN	SYnotp	ReOawA	1870.0	3233.0
eeVQAD	153.0	5575.0	3650.0	126.0	HEBbwK	pfmxrL	DJwYdl	359.0	3583.0
DPIKud	2025.0	4707.0	1227.0	5075.0	jithza	AWvgct	JqymVN	1701.0	2666.0
LHTxOM	1030.0	2236.0	2928.0	5099.0	DPIKud	wLOZRO	wLOZRO	473.0	1075.0
HEBbwK	1417.0	1208.0	6282.0	149.0	rIaMwY	wLOZRO	LHTxOM	7134.0	996.0
HEBbwK	4496.0	2119.0	4869.0	2324.0	ReOawA	DJwYdl	jithza	4851.0	1734.0
SYnotp	3111.0	409.0	2255.0	4553.0	KVGcIg	epcVJK	NwlieP	773.0	1257.0
JqymVN	7533.0	596.0	1699.0	6564.0	DPIKud	IrOLwQ	SYnotp	2693.0	2734.0
DPIKud	862.0	1461.0	3276.0	1039.0	AWvgct	uHjRAr	UPpvkc	3557.0	5222.0
StAyqw	4032.0	4764.0	8158.0	50.0	ReOawA	MdNHJO	IrOLwQ	461.0	895.0
LHTxOM	593.0	465.0	596.0	3326.0	wLOZRO	ZigqKk	HEBbwK	3880.0	2594.0
OhryCL	1656.0	710.0	1578.0	26.0	xuoBel	cpWqOw	IrOLwQ	132.0	5330.0
DPIKud	1727.0	56.0	6500.0	1614.0	cpWqOw	AWvgct	CBcUxf	70.0	3252.0
FElhOR	215.0	169.0	3057.0	673.0	rIaMwY	NwlieP	jithza	2356.0	1061.0
gkygIZ	1848.0	1299.0	571.0	729.0	eeVQAD	IrOLwQ	pfmxrL	92.0	4124.0
KVGcIg	4681.0	5937.0	133.0	107.0	gkygIZ	TuCZEm	jithza	3850.0	5440.0
TuCZEm	4366.0	2852.0	2514.0	780.0	AWvgct	IrOLwQ	ReOawA	662.0	57.0
CBcUxf	3012.0	3709.0	7377.0	2654.0	WstBYV	UPpvkc	cpWqOw	2496.0	3875.0
NwlieP	4089.0	4653.0	470.0	1039.0	epcVJK	gkygIZ	SYnotp	2347.0	6331.0
xuoBel	2634.0	1166.0	935.0	366.0	jithza	HEBbwK	UPpvkc	2003.0	3384.0
DJwYdl	2572.0	1002.0	2326.0	45.0	CBcUxf	wLOZRO	epcVJK	6974.0	666.0
pfmxrL	727.0	3253.0	747.0	540.0	cpWqOw	TuCZEm	eeVQAD	1265.0	6039.0
DPIKud	259.0	1568.0	1181.0	1275.0	xuoBel	SYnotp	KVGcIg	291.0	2342.0
DPIKud	856.0	1855.0	786.0	1186.0	HEBbwK	CBcUxf	IrOLwQ	6080.0	4582.0
cpWqOw	366.0	178.0	439.0	2081.0	OhryCL	KVGcIg	KVGcIg	5213.0	1740.0
AWvgct	4451.0	1374.0	911.0	2293.0	jithza	uHjRAr	CBcUxf	1127.0	2066.0
StAyqw	1506.0	1784.0	305.0	675.0	gkygIZ	eeVQAD	AWvgct	2161.0	426.0
NwlieP	3897.0	221.0	13.0	29.0	CBcUxf	rIaMwY	IrOLwQ	9150.0	5624.0
NwlieP	5078.0	4484.0	32.0	3375.0	TuCZEm	NwlieP	gkygIZ	439.0	2358.0
WstBYV	887.0	1498.0	2294.0	3105.0	DPIKud	ZigqKk	DJwYdl	6235.0	941.0
JqymVN	4722.0	5979.0	2252.0	1586.0	MdNHJO	TuCZEm	IrOLwQ	19.0	2804.0
CBcUxf	5999.0	4740.0	1763.0	588.0	UPpvkc	DPIKud	wLOZRO	3875.0	48.0
DJwYdl	6837.0	95.0	3739.0	0.0	KVGcIg	HEBbwK	jithza	6470.0	5525.0
cpWqOw	3308.0	289.0	639.0	675.0	SYnotp	JqymVN	CBcUxf	1999.0	56.0
pfmxrL	3002.0	3165.0	6121.0	3256.0	DPIKud	DPIKud	WstBYV	2443.0	864.0
uHjRAr	1105.0	325.0	3931.0	5328.0	UPpvkc	wLOZRO	NwlieP	5117.0	9470.0
AWvgct	3912.0	1741.0	3120.0	2939.0	HEBbwK	NwlieP	ZigqKk	2142.0	143.0
uHjRAr	866.0	6341.0	53.0	3792.0	AWvgct	UPpvkc	DJwYdl	3164.0	1933.0
UPpvkc	732.0	4840.0	7410.0	4201.0	NwlieP	KVGcIg	NwlieP	5083.0	3449.0
jithza	3960.0	519.0	4128.0	303.0	HEBbwK	AWvgct	ZigqKk	1007.0	207.0
gkygIZ	4175.0	3080.0	3767.0	3195.0	OhryCL	OhryCL	JqymVN	7549.0	9577.0
ZigqKk	6302.0	3673.0	5992.0	3790.0	SYnotp	gkygIZ	xuoBel	4230.0	2811.0
JqymVN	86.0	689.0	1581.0	4976.0	uHjRAr	pfmxrL	LHTxOM	975.0	2156.0
jithza	5482.0	525.0	7048.0	180.0	FElhOR	IrOLwQ	KVGcIg	2713.0	6389.0
NwlieP	243.0	578.0	4774.0	1756.0	FElhOR	HEBbwK	xuoBel	3546.0	2285.0
uHjRAr	4437.0	627.0	1663.0	832.0	wLOZRO	ReOawA	wLOZRO	485.0	767.0
StAyqw	3723.0	6355.0	690.0	5442.0	TuCZEm	WstBYV	NwlieP	404.0	106.0
gkygIZ	789.0	271.0	2633.0	4863.0	MdNHJO	JqymVN	KVGcIg	335.0	454.0
AWvgct	7571.0	6003.0	311.0	4990.0	WstBYV	DPIKud	rIaMwY	3765.0	225.0
eeVQAD	3462.0	2098.0	2021.0	361.0	TuCZEm	KVGcIg	FElhOR	4109.0	935.0
epcVJK	1669.0	520.0	321.0	3823.0	UPpvkc	FElhOR	CBcUxf	5229.0	1981.0
OhryCL	5940.0	3055.0	4556.0	64.0	pfmxrL	cpWqOw	AWvgct	2.0	177.0
OhryCL	2634.0	3625.0	1197.0	1179.0	TuCZEm	NwlieP	wLOZRO	4564.0	751.0
eeVQAD	3625.0	725.0	994.0	235.0	cpWqOw	CBcUxf	cpWqOw	797.0	1084.0
uHjRAr	2539.0	793.0	2344.0	2182.0	ZigqKk	jithza	FElhOR	1316.0	2505.0
DPIKud	2593.0	2392.0	196.0	133.0	DPIKud	CBcUxf	LHTxOM	947.0	1406.0
ZigqKk	97.0	117.0	1979.0	4799.0	eeVQAD	IrOLwQ	MdNHJO	1996.0	157.0
HEBbwK	5444.0	48.0	6505.0	5039.0	FElhOR	DJwYdl	ReOawA	6150.0	6315.0
xuoBel	1785.0	489.0	7458.0	2844.0	xuoBel	jithza	StAyqw	6370.0	52.0
cpWqOw	2248.0	95.0	676.0	3109.0	UPpvkc	IrOLwQ	epcVJK	4215.0	1432.0
StAyqw	1910.0	207.0	2380.0	1140.0	KVGcIg	HEBbwK	xuoBel	2965.0	6.0
AWvgct	6940.0	1387.0	2758.0	1797.0	OhryCL	HEBbwK	OhryCL	3415.0	4542.0
NwlieP	6160.0	32.0	1111.0	2711.0	DJwYdl	JqymVN	ZigqKk	5.0	118.0
StAyqw	915.0	1289.0	999.0	2305.0	wLOZRO	DJwYdl	CBcUxf	2060.0	1501.0
DJwYdl	4846.0	578.0	6923.0	2203.0	FElhOR	WstBYV	xuoBel	3297.0	959.0
AWvgct	5784.0	4615.0	7930.0	21.0	AWvgct	epcVJK	SYnotp	591.0	6296.0
WstBYV	1968.0	616.0	3171.0	1062.0	epcVJK	epcVJK	IrOLwQ	3546.0	1459.0
AWvgct	5991.0	8687.0	3401.0	6298.0	FElhOR	TuCZEm	NwlieP	84.0	12.0
KVGcIg	508.0	942.0	672.0	3264.0	gkygIZ	KVGcIg	TuCZEm	4136.0	946.0
JqymVN	5666.0	2342.0	1540.0	2706.0	LHTxOM	DJwYdl	cpWqOw	2583.0	5646.0
pfmxrL	666.0	7585.0	659.0	3422.0	MdNHJO	HEBbwK	epcVJK	3501.0	1440.0
gkygIZ	2195.0	185.0	2809.0	2784.0	rIaMwY	AWvgct	SYnotp	651.0	6658.0
TuCZEm	5179.0	954.0	2629.0	2062.0	UPpvkc	CBcUxf	LHTxOM	36.0	5400.0
ReOawA	3204.0	4672.0	2657.0	5000.0	CBcUxf	rIaMwY	CBcUxf	1198.0	206.0
ReOawA	506.0	1881.0	2191.0	2261.0	OhryCL	eeVQAD	KVGcIg	76.0	1811.0
DPIKud	5781.0	1556.0	201.0	1002.0	LHTxOM	uHjRAr	JqymVN	2320.0	4102.0
uHjRAr	564.0	0.0	3970.0	2943.0	MdNHJO	FElhOR	rIaMwY	4147.0	3409.0
eeVQAD	6236.0	26.0	7743.0	1425.0	jithza	MdNHJO	CBcUxf	9541.0	3757.0
WstBYV	4981.0	1821.0	840.0	7169.0	wLOZRO	OhryCL	NwlieP	69.0	977.0
rIaMwY	1447.0	1925.0	7083.0	4815.0	pfmxrL	SYnotp	pfmxrL	917.0	2135.0
ReOawA	4450.0	3914.0	1517.0	4606.0	uHjRAr	AWvgct	MdNHJO	3677.0	2146.0
KVGcIg	2877.0	1370.0	9.0	151.0	FElhOR	HEBbwK	WstBYV	5499.0	1201.0
OhryCL	79.0	2231.0	5497.0	985.0	cpWqOw	rIaMwY	CBcUxf	2862.0	613.0
xuoBel	425.0	5263.0	391.0	466.0	StAyqw	xuoBel	SYnotp	281.0	5079.0
epcVJK	1000.0	4829.0	1729.0	12.0	eeVQAD	gkygIZ	ReOawA	771.0	3808.0
WstBYV	23.0	2229.0	1893.0	554.0	pfmxrL	gkygIZ	ZigqKk	347.0	129.0
LHTxOM	5624.0	3211.0	346.0	408.0	gkygIZ	ZigqKk	DJwYdl	272.0	6519.0
WstBYV	489.0	9803.0	3909.0	5427.0	WstBYV	LHTxOM	DPIKud	607.0	3238.0
DJwYdl	1575.0	345.0	4334.0	1033.0	IrOLwQ	HEBbwK	wLOZRO	446.0	481.0
WstBYV	1666.0	1889.0	783.0	3611.0	AWvgct	OhryCL	StAyqw	1521.0	2378.0
LHTxOM	98.0	1403.0	6711.0	307.0	cpWqOw	DJwYdl	OhryCL	397.0	3380.0
WstBYV	4467.0	35.0	8796.0	6415.0	cpWqOw	cpWqOw	epcVJK	564.0	166.0
eeVQAD	5582.0	618.0	3143.0	348.0	ReOawA	wLOZRO	ZigqKk	3841.0	5613.0
JqymVN	7973.0	5048.0	4816.0	1918.0	wLOZRO	AWvgct	KVGcIg	2956.0	3364.0
ZigqKk	375.0	844.0	3555.0	2928.0	CBcUxf	gkygIZ	AWvgct	6301.0	3756.0
WstBYV	643.0	95.0	1272.0	3585.0	MdNHJO	TuCZEm	cpWqOw	5334.0	1826.0
TuCZEm	1680.0	2799.0	443.0	736.0	HEBbwK	UPpvkc	uHjRAr	1762.0	2294.0
epcVJK	94.0	237.0	2361.0	6365.0	gkygIZ	TuCZEm	MdNHJO	2171.0	1818.0
gkygIZ	445.0	2431.0	902.0	370.0	ReOawA	StAyqw	DPIKud	3363.0	1025.0
wLOZRO	1932.0	661.0	1346.0	49.0	StAyqw	HEBbwK	wLOZRO	845.0	2489.0
ReOawA	3347.0	1623.0	3492.0	2766.0	DJwYdl	eeVQAD	SYnotp	7167.0	94.0
OhryCL	2377.0	2223.0	2606.0	1023.0	AWvgct	FElhOR	NwlieP	5960.0	1213.0
OhryCL	19.0	2405.0	2363.0	2010.0	ZigqKk	StAyqw	WstBYV	1257.0	3080.0
rIaMwY	2632.0	5589.0	525.0	6275.0	IrOLwQ	ZigqKk	CBcUxf	709.0	327.0
NwlieP	7951.0	2865.0	1994.0	5854.0	TuCZEm	uHjRAr	xuoBel	4356.0	1874.0
StAyqw	4107.0	2420.0	1915.0	2587.0	MdNHJO	CBcUxf	DPIKud	425.0	3985.0
CBcUxf	745.0	1220.0	1011.0	6738.0	ZigqKk	CBcUxf	OhryCL	1143.0	533.0
TuCZEm	2300.0	2349.0	4135.0	858.0	MdNHJO	NwlieP	epcVJK	1788.0	4124.0
wLOZRO	1848.0	2297.0	170.0	8566.0	UPpvkc	wLOZRO	eeVQAD	6697.0	1235.0
gkygIZ	4949.0	3344.0	77.0	2334.0	wLOZRO	HEBbwK	wLOZRO	343.0	1801.0
LHTxOM	4001.0	956.0	4105.0	8730.0	cpWqOw	KVGcIg	KVGcIg	7857.0	7343.0
KVGcIg	5954.0	5560.0	6869.0	99.0	SYnotp	SYnotp	MdNHJO	5474.0	1119.0
KVGcIg	5959.0	936.0	6320.0	7670.0	xuoBel	IrOLwQ	pfmxrL	5560.0	7599.0
HEBbwK	334.0	448.0	1054.0	50.0	CBcUxf	KVGcIg	UPpvkc	711.0	224.0
wLOZRO	262.0	3654.0	5319.0	825.0	jithza	rIaMwY	CBcUxf	8707.0	2339.0
NwlieP	1625.0	647.0	38.0	682.0	gkygIZ	IrOLwQ	HEBbwK	2381.0	5431.0
JqymVN	53.0	1870.0	1413.0	6149.0	jithza	JqymVN	IrOLwQ	983.0	1125.0
NwlieP	171.0	2672.0	2748.0	1337.0	DPIKud	TuCZEm	OhryCL	975.0	381.0
cpWqOw	618.0	4052.0	5885.0	700.0	WstBYV	OhryCL	ZigqKk	901.0	1877.0
UPpvkc	19.0	649.0	1640.0	3824.0	NwlieP	IrOLwQ	wLOZRO	621.0	2154.0
epcVJK	513.0	1493.0	12.0	1458.0	KVGcIg	eeVQAD	MdNHJO	2401.0	350.0
xuoBel	1627.0	2936.0	6473.0	3479.0	eeVQAD	HEBbwK	AWvgct	2846.0	3753.0
AWvgct	629.0	615.0	1114.0	7815.0	WstBYV	UPpvkc	CBcUxf	3426.0	433.0
JqymVN	7021.0	815.0	1650.0	3788.0	eeVQAD	uHjRAr	WstBYV	679.0	1466.0
MdNHJO	40.0	253.0	1950.0	446.0	WstBYV	ZigqKk	ReOawA	12.0	1655.0
LHTxOM	1792.0	4590.0	7430.0	5429.0	ReOawA	HEBbwK	JqymVN	28.0	3657.0
wLOZRO	3934.0	97.0	591.0	751.0	SYnotp	epcVJK	epcVJK	24.0	886.0
ZigqKk	344.0	0.0	2301.0	4187.0	MdNHJO	rIaMwY	uHjRAr	4918.0	955.0
JqymVN	653.0	6998.0	1233.0	1034.0	LHTxOM	uHjRAr	NwlieP	2130.0	1417.0
NwlieP	850.0	4332.0	169.0	289.0	eeVQAD	uHjRAr	HEBbwK	2056.0	163.0
WstBYV	22.0	1171.0	1982.0	1190.0	NwlieP	HEBbwK	gkygIZ	123.0	198.0
JqymVN	6503.0	971.0	452.0	1230.0	HEBbwK	OhryCL	pfmxrL	3396.0	7050.0
cpWqOw	46.0	252.0	8730.0	115.0	NwlieP	HEBbwK	wLOZRO	1434.0	1117.0
TuCZEm	1.0	156.0	5702.0	3756.0	epcVJK	ZigqKk	TuCZEm	1157.0	3801.0
ZigqKk	3941.0	3547.0	207.0	2855.0	LHTxOM	HEBbwK	OhryCL	8526.0	8422.0
uHjRAr	2987.0	1232.0	189.0	4013.0	StAyqw	DPIKud	LHTxOM	338.0	607.0
NwlieP	1195.0	2151.0	8312.0	665.0	ZigqKk	UPpvkc	MdNHJO	1734.0	7978.0
wLOZRO	1610.0	6137.0	8428.0	1117.0	MdNHJO	jithza	StAyqw	1375.0	1763.0
